gene,IR1_S64_L001,IR1_S64_L002,IR2_S65_L001,IR2_S65_L002,IR3_S66_L001,IR3_S66_L002,IR4_S67_L001,IR4_S67_L002,IR5_S68_L001,IR5_S68_L002,IR6_S69_L001,IR6_S69_L002,IR7_S70_L001,IR7_S70_L002,IR8_S71_L001,IR8_S71_L002,IR9_S72_L001,IR9_S72_L002,RN1_S55_L001,RN1_S55_L002,RN2_S56_L001,RN2_S56_L002,RN3_S57_L001,RN3_S57_L002,RN4_S58_L001,RN4_S58_L002,RN5_S59_L001,RN5_S59_L002,RN6_S60_L001,RN6_S60_L002,RN7_S61_L001,RN7_S61_L002,RN8_S62_L001,RN8_S62_L002,RN9_S63_L001,RN9_S63_L002
LOC_Os01g20910.MSUR7,12,20,8,10,13,8,5,2,2,4,0,7,5,5,5,3,3,5,4,8,14,7,11,14,14,14,4,3,3,4,9,7,9,13,2,7
LOC_Os01g21960.MSUR7,23,15,14,15,15,30,5,4,0,3,3,4,44,56,54,55,25,45,7,9,14,13,13,4,19,9,5,7,4,13,44,27,41,48,14,5
LOC_Os01g22336.MSUR7,21,19,21,12,11,12,0,2,6,0,0,0,17,44,37,31,23,26,12,0,7,14,16,14,11,17,13,9,13,14,24,20,29,25,16,8
LOC_Os01g22980.MSUR7,41,38,17,45,36,51,4,10,9,14,0,0,16,15,10,9,10,0,24,25,28,18,24,23,25,31,14,11,11,24,0,13,5,8,0,15
LOC_Os01g24710.MSUR7,1486,1535,1465,1491,1261,1222,559,594,676,636,579,548,1174,1223,1154,1156,1082,1070,746,705,802,887,859,843,1274,1185,939,1016,901,986,334,344,445,477,122,145
LOC_Os01g34790.MSUR7,48,52,67,52,44,40,33,38,48,55,19,24,38,46,33,42,20,24,53,46,55,68,50,56,39,37,28,24,35,42,14,12,4,8,12,14
LOC_Os01g36560.MSUR7,34,28,27,37,29,40,18,24,12,11,21,23,23,21,19,21,10,5,22,29,24,20,23,24,14,17,16,14,0,17,14,0,0,6,0,0
LOC_Os01g37110.MSUR7,10,14,17,15,24,16,0,0,5,0,0,0,13,11,19,13,10,14,8,11,5,8,14,10,20,9,12,12,5,8,20,12,38,25,15,19
LOC_Os01g38110.MSUR7,14,14,31,12,13,18,30,26,20,23,17,8,23,23,12,23,19,19,20,24,28,18,18,24,40,29,26,26,16,9,10,13,8,13,4,7
LOC_Os01g39990.MSUR7,3,7,2,8,3,2,2,0,0,4,2,5,8,8,3,0,4,3,8,4,9,2,4,8,4,4,0,5,3,4,4,3,0,0,2,2
LOC_Os01g41240.MSUR7,60,34,51,52,26,35,36,41,32,38,25,23,23,22,56,36,10,17,83,70,104,107,107,65,42,42,18,27,27,42,26,33,23,20,44,29
LOC_Os01g41550.MSUR7,18,20,27,18,24,22,2,5,3,7,4,9,59,42,48,57,46,51,15,14,14,18,24,30,43,39,32,30,21,30,48,50,57,72,22,29
LOC_Os01g41710.MSUR7,0,4,0,4,9,3,2,3,0,0,0,3,16,17,14,7,13,10,2,2,8,4,2,3,3,3,4,2,3,0,38,44,35,46,27,43
LOC_Os01g42234.MSUR7,46,52,52,48,96,72,27,28,21,27,8,27,234,215,382,357,145,129,39,29,45,26,54,49,37,70,35,25,38,48,93,93,106,98,95,109
LOC_Os01g42520.MSUR7,86,74,88,62,114,110,0,0,0,0,4,9,130,151,245,206,86,108,24,30,54,43,82,75,51,55,32,53,57,46,168,137,259,288,50,55
LOC_Os01g43510.MSUR7,6,4,6,7,5,6,0,3,0,0,3,0,10,14,17,14,15,14,3,4,8,3,11,5,8,6,3,7,9,4,11,7,11,5,4,8
LOC_Os01g43580.MSUR7,20,18,26,21,31,24,7,0,5,0,5,0,62,60,62,47,50,57,0,5,10,7,15,14,23,18,11,14,11,16,30,26,58,62,11,13
LOC_Os01g44960.MSUR7,15,15,40,29,36,25,7,12,6,4,9,4,71,54,47,55,88,75,0,14,3,11,23,17,30,28,14,18,24,22,83,70,142,165,33,41
LOC_Os01g45640.MSUR7,64,61,48,50,52,52,30,38,53,26,28,34,74,64,41,46,46,40,69,67,54,68,73,74,75,80,51,49,51,57,14,26,33,29,20,25
LOC_Os01g45860.MSUR7,12,9,15,5,5,10,0,4,2,3,0,2,24,14,24,24,19,13,2,4,8,2,10,5,9,15,4,12,3,9,9,11,16,19,11,5
LOC_Os01g46870.MSUR7,7,4,12,8,16,10,3,3,0,0,0,0,16,18,16,10,18,24,3,2,4,5,6,4,3,9,9,8,4,7,8,3,24,12,8,6
LOC_Os01g47400.MSUR7,15,9,10,6,21,14,3,0,9,3,0,0,51,35,23,29,39,30,9,7,10,0,13,16,20,24,10,21,27,13,33,31,44,58,16,16
LOC_Os01g47780.MSUR7,233,223,206,174,297,236,13,12,19,14,16,23,474,439,766,695,413,403,68,69,142,140,188,151,163,133,137,122,145,152,528,603,1037,981,207,237
LOC_Os01g48620.MSUR7,5,7,8,13,3,7,12,4,4,3,3,3,2,3,4,8,7,0,9,5,4,8,9,5,17,20,9,13,15,10,5,2,5,2,2,9
LOC_Os01g48640.MSUR7,27,21,29,29,28,41,20,14,24,20,23,23,10,10,9,15,8,4,0,8,7,0,7,7,5,5,4,7,2,7,0,2,3,2,2,0
LOC_Os01g48750.MSUR7,20,23,25,23,28,29,2,3,0,2,4,0,30,22,39,43,22,33,14,9,8,9,20,11,12,5,2,4,9,17,29,10,27,35,6,9
LOC_Os01g49210.MSUR7,9,5,2,6,5,7,0,0,3,3,2,2,10,8,11,11,4,11,3,2,2,5,5,2,2,0,3,0,2,3,8,8,14,14,4,16
LOC_Os01g50910.MSUR7,29,32,31,29,46,79,0,7,12,23,11,10,190,175,166,137,166,163,16,10,28,8,14,13,20,13,7,12,14,7,27,25,15,20,15,17
LOC_Os01g50940.MSUR7,6,0,8,5,7,2,0,0,2,2,0,3,28,35,22,34,19,22,0,2,4,2,2,4,3,2,4,2,2,3,7,2,4,4,2,3
LOC_Os01g51840.MSUR7,17,28,24,30,30,38,0,0,0,3,0,11,48,68,81,85,37,46,10,22,17,25,22,27,44,50,30,26,33,27,104,71,132,142,54,52
LOC_Os01g52790.MSUR7,20,17,14,22,18,36,17,19,12,16,13,24,35,40,29,37,27,29,41,42,49,38,57,48,36,24,32,23,31,33,21,24,18,0,21,25
LOC_Os01g53779.MSUR7,87,89,90,98,60,77,61,86,73,90,46,30,53,64,70,58,73,79,0,31,0,31,0,0,38,35,51,39,45,64,100,105,93,59,120,130
LOC_Os01g54390.MSUR7,10,8,12,0,10,15,7,4,5,12,9,3,24,22,13,15,14,12,3,0,4,0,0,0,10,7,5,12,12,11,15,15,13,0,12,14
LOC_Os01g54590.MSUR7,12,15,10,11,0,12,0,4,8,0,3,0,15,25,36,38,21,24,16,0,15,20,18,14,8,10,12,9,6,9,20,19,21,35,12,27
LOC_Os01g54620.MSUR7,145,140,114,149,210,211,15,8,14,19,4,13,392,401,423,437,366,325,46,46,67,65,99,86,129,114,90,81,129,135,351,329,552,517,140,159
LOC_Os01g55190.MSUR7,25,13,14,16,27,29,4,0,0,0,0,0,60,67,66,67,64,61,8,16,8,14,13,20,19,18,13,14,19,21,42,48,68,61,32,20
LOC_Os01g55220.MSUR7,8,10,4,12,6,7,1,0,1,2,1,0,14,7,15,10,9,13,2,2,2,3,3,1,4,6,2,3,5,8,12,8,12,12,5,4
LOC_Os01g55500.MSUR7,8,4,5,0,6,8,4,0,0,0,4,0,17,24,18,9,9,12,5,5,8,13,10,11,13,13,12,11,13,8,16,18,18,19,16,8
LOC_Os01g56330.MSUR7,18,32,25,27,32,26,4,6,3,7,6,7,70,76,101,83,73,58,10,9,7,5,16,9,31,14,19,11,10,15,59,70,88,71,19,26
LOC_Os01g56810.MSUR7,16,19,17,18,8,13,12,0,13,3,0,0,34,44,75,66,28,30,21,16,32,23,16,19,7,10,16,12,18,23,36,24,17,13,39,29
LOC_Os01g57030.MSUR7,28,27,22,25,24,42,2,3,6,3,8,8,41,54,102,98,28,36,31,40,41,46,39,49,39,40,32,32,26,41,81,64,166,169,28,41
LOC_Os01g57240.MSUR7,11,6,9,14,8,7,3,0,4,7,0,0,49,37,37,25,36,26,11,13,10,17,9,12,9,16,8,4,16,9,20,33,31,27,17,13
LOC_Os01g58130.MSUR7,31,18,20,35,25,32,10,8,5,13,8,5,36,30,61,54,21,25,44,38,47,50,57,65,40,23,25,21,27,35,22,22,21,18,15,11
LOC_Os01g58240.MSUR7,53,59,75,81,106,91,32,20,32,47,21,11,43,56,21,39,38,36,130,136,151,172,126,138,43,36,41,41,63,50,47,61,60,52,55,50
LOC_Os01g58550.MSUR7,31,30,33,32,65,54,0,0,0,5,8,0,28,35,74,69,20,25,23,22,23,17,21,27,20,23,20,11,29,27,54,35,79,63,14,25
LOC_Os01g60770.MSUR7,27,30,24,18,28,22,12,6,0,9,0,18,110,82,103,88,67,72,8,0,10,12,21,17,26,19,20,16,21,13,28,31,46,51,8,22
LOC_Os01g61160.MSUR7,42,45,38,39,66,43,8,13,5,0,12,0,60,86,60,67,62,74,26,21,28,41,51,51,134,117,68,83,111,97,248,261,354,346,94,89
LOC_Os01g61840.MSUR7,5,7,10,6,5,10,7,3,9,5,12,6,4,4,7,7,1,3,9,15,4,12,6,10,7,8,5,5,15,21,10,19,0,4,7,2
LOC_Os01g61940.MSUR7,16,11,9,10,15,8,0,2,3,0,4,2,27,26,20,16,13,16,4,9,6,8,12,24,23,30,23,33,27,20,78,57,130,102,31,35
LOC_Os01g62870.MSUR7,32,33,35,28,61,81,17,16,10,8,19,16,141,169,229,264,140,159,0,25,30,45,66,57,29,30,31,25,26,26,119,117,139,120,132,127
LOC_Os01g65880.MSUR7,26,13,30,23,39,38,0,0,0,0,0,0,184,185,175,153,180,169,15,8,30,32,74,45,75,88,61,62,98,84,185,207,324,338,73,67
LOC_Os01g66010.MSUR7,13,9,24,21,10,18,29,33,21,21,13,14,261,212,285,305,200,171,13,12,12,20,8,11,13,11,8,11,18,7,59,57,42,43,63,54
LOC_Os01g66200.MSUR7,66,61,55,71,61,86,10,12,11,10,7,10,132,101,104,97,111,110,39,42,53,61,36,57,64,58,45,59,34,63,106,82,159,139,61,73
LOC_Os01g67090.MSUR7,60,48,44,54,70,71,9,5,8,10,5,7,142,110,97,111,103,106,13,23,34,17,37,38,32,39,32,37,42,47,75,96,159,147,40,39
LOC_Os01g67240.MSUR7,19,16,5,6,14,17,5,0,0,0,0,3,30,33,32,30,36,27,6,12,3,13,12,6,10,11,12,12,10,11,30,21,23,32,9,9
LOC_Os01g68580.MSUR7,25,21,16,27,24,26,2,0,0,0,0,3,25,31,59,55,30,18,7,8,5,14,19,26,28,27,15,19,29,17,45,36,50,42,16,20
LOC_Os01g68589.MSUR7,89,96,117,119,186,190,9,7,3,9,13,19,332,297,429,422,280,277,50,58,80,86,112,127,133,160,130,105,114,106,337,320,435,473,123,149
LOC_Os01g70100.MSUR7,21,34,31,35,43,34,0,0,0,7,8,10,37,38,44,63,37,41,23,18,15,13,19,38,32,54,26,28,21,41,62,71,116,91,43,37
LOC_Os01g70180.MSUR7,30,43,40,37,41,50,10,9,4,5,5,14,71,90,111,111,72,57,33,19,20,24,39,42,24,31,26,14,32,22,95,106,126,145,50,46
LOC_Os01g70200.MSUR7,35,44,36,40,42,56,9,10,9,12,11,11,133,131,131,155,128,108,42,40,37,29,60,36,54,45,39,38,56,47,113,116,196,212,50,57
LOC_Os01g71080.MSUR7,9,10,4,5,13,13,3,0,0,2,0,0,23,32,26,21,24,26,0,4,2,2,7,15,7,3,0,7,7,7,21,13,34,35,9,5
LOC_Os01g71060.MSUR7,51,41,53,69,82,102,4,3,2,5,3,2,93,85,87,78,86,81,16,14,21,25,25,28,24,20,33,26,33,36,58,53,75,74,16,9
LOC_Os01g71170.MSUR7,37,45,28,62,46,48,3,0,3,3,3,6,76,63,104,96,36,34,7,12,9,14,26,33,23,27,29,24,36,35,44,37,53,63,29,17
LOC_Os01g71220.MSUR7,24,20,19,26,31,39,9,0,18,10,0,0,73,89,62,56,62,69,24,13,20,15,23,15,22,35,17,24,18,25,52,60,90,88,36,53
LOC_Os01g71340.MSUR7,48,61,70,45,60,86,32,28,32,40,63,53,77,77,169,150,36,37,78,61,93,87,105,124,113,128,112,108,105,125,38,32,49,59,15,10
LOC_Os01g71350.MSUR7,1347,1337,1225,1257,1174,1179,1096,1107,1329,1282,953,842,401,455,492,532,328,342,814,767,840,841,973,898,802,935,683,693,840,880,149,148,89,86,116,129
LOC_Os01g71474.MSUR7,26,33,27,35,28,22,22,38,33,40,31,16,44,34,72,70,24,29,25,23,17,24,20,13,33,19,22,27,32,26,13,15,5,0,8,5
LOC_Os01g71860.MSUR7,15,24,17,26,14,18,13,15,14,11,19,21,31,40,70,89,20,22,17,20,26,35,19,18,14,8,0,8,9,9,15,9,5,9,0,4
LOC_Os01g72530.MSUR7,46,40,34,26,61,30,6,10,9,9,2,4,33,22,64,53,32,31,69,88,86,93,99,105,20,27,21,27,33,19,20,27,15,29,23,29
LOC_Os01g73200.MSUR7,20,21,15,15,25,17,14,12,19,23,15,13,9,14,25,24,9,10,30,24,23,19,40,30,15,19,18,22,27,19,8,8,14,8,5,13
LOC_Os01g73980.MSUR7,53,78,75,85,90,114,13,14,5,9,0,8,214,149,197,194,154,154,13,31,47,31,44,35,52,57,31,58,61,91,131,153,192,198,64,69
LOC_Os01g74040.MSUR7,20,11,9,8,18,13,9,3,3,13,3,4,10,12,12,25,13,8,15,26,27,24,31,15,4,6,4,8,8,10,8,15,13,0,8,7
LOC_Os01g74152.MSUR7,16,14,7,16,29,20,0,0,0,7,13,3,62,48,45,40,31,31,19,11,22,26,27,25,23,14,15,11,8,25,44,35,36,43,18,18
LOC_Os02g02780.MSUR7,8,10,10,7,11,13,6,0,0,0,0,6,3,0,7,5,4,4,92,96,83,80,83,104,43,46,21,34,35,29,23,27,12,9,16,30
LOC_Os02g03294.MSUR7,14,9,10,21,23,28,0,4,0,0,5,0,29,31,26,32,20,35,0,0,10,9,14,5,14,12,5,9,10,10,30,31,50,53,17,15
LOC_Os02g03870.MSUR7,21,17,25,26,13,27,0,0,0,0,6,0,60,67,75,69,33,57,13,19,21,18,16,29,16,17,17,13,25,16,81,87,98,92,29,40
LOC_Os02g04130.MSUR7,19,20,18,18,38,24,5,10,14,10,8,3,31,24,40,39,10,14,47,36,34,42,48,37,7,9,5,8,6,14,10,14,13,8,12,5
LOC_Os02g05970.MSUR7,11,8,23,13,3,11,8,9,11,5,6,4,15,21,25,12,10,17,8,4,5,4,7,2,0,5,2,3,3,3,3,0,0,3,3,0
LOC_Os02g07044.MSUR7,13,9,11,9,14,14,4,0,3,3,0,0,20,18,30,22,18,15,10,15,20,6,9,10,15,14,14,12,8,8,35,22,29,28,14,9
LOC_Os02g07870.MSUR7,14,17,11,20,36,35,0,0,0,0,0,4,52,42,58,60,26,44,8,12,21,15,13,12,21,11,0,19,11,9,30,47,56,56,28,21
LOC_Os02g08270.MSUR7,42,38,38,27,39,56,22,31,25,16,6,10,105,84,114,116,106,106,7,9,4,8,9,5,4,0,3,4,4,0,27,26,16,16,21,32
LOC_Os02g09930.MSUR7,50,68,50,63,101,72,0,6,9,10,20,20,188,173,165,159,120,121,39,40,55,56,54,70,84,68,58,49,83,55,153,135,188,160,76,98
LOC_Os02g10520.MSUR7,18,14,13,9,24,24,0,0,0,6,0,0,34,34,71,85,27,20,5,12,13,19,4,14,13,10,9,13,8,13,38,49,43,55,19,23
LOC_Os02g11070.MSUR7,27,30,33,30,44,44,14,4,0,13,12,15,156,173,200,196,126,160,37,35,52,58,35,51,33,18,20,13,23,20,55,52,44,43,60,84
LOC_Os02g11130.MSUR7,28,25,29,32,41,23,28,26,46,35,35,20,11,14,28,23,8,13,37,38,37,32,22,33,64,45,38,31,39,42,20,34,21,18,27,23
LOC_Os02g12680.MSUR7,13,25,14,33,25,22,21,11,14,12,17,16,15,13,5,18,8,3,17,20,15,14,19,7,24,33,30,42,28,25,2,0,0,4,4,5
LOC_Os02g13150.MSUR7,23,11,23,26,22,34,4,11,0,4,0,3,62,48,64,70,44,39,5,6,15,14,18,15,26,22,15,20,21,14,46,56,60,67,32,44
LOC_Os02g13510.MSUR7,77,70,66,61,83,81,41,36,67,56,37,25,49,35,44,47,35,38,94,80,77,80,67,82,118,114,86,95,87,86,28,41,36,32,39,36
LOC_Os02g13870.MSUR7,151,142,147,129,139,134,128,126,138,155,126,96,43,91,186,163,33,30,116,92,100,122,116,125,129,134,103,92,140,99,32,21,33,19,32,34
LOC_Os02g13900.MSUR7,18,13,14,18,19,7,8,17,13,9,14,7,10,15,24,21,14,22,13,8,10,9,11,5,14,8,5,4,0,11,0,0,5,0,0,9
LOC_Os02g15810.MSUR7,31,48,47,42,60,69,9,5,4,0,4,0,74,53,62,79,55,61,14,19,21,45,24,25,60,48,33,32,38,46,70,71,109,100,31,39
LOC_Os02g18410.MSUR7,21,30,30,17,25,36,0,0,0,0,0,0,57,35,94,81,16,16,7,5,13,14,26,14,19,19,13,10,29,19,116,100,171,176,45,32
LOC_Os02g20850.MSUR7,29,25,19,24,42,27,6,0,5,0,3,0,47,49,40,38,31,40,7,0,0,7,27,20,20,28,16,14,19,27,57,54,51,71,14,22
LOC_Os02g26720.MSUR7,3,0,3,2,4,7,2,2,3,2,0,3,31,29,37,25,11,15,10,9,10,4,4,11,2,4,7,4,4,8,13,10,10,5,21,8
LOC_Os02g26810.MSUR7,0,8,7,9,0,0,10,0,12,15,5,0,25,39,51,46,21,35,17,9,7,13,5,9,13,20,16,9,7,11,17,9,15,15,21,14
LOC_Os02g28334.MSUR7,37,28,21,30,36,41,2,8,3,2,4,11,0,0,0,0,0,0,103,99,104,104,118,100,112,106,88,119,120,127,123,126,146,126,138,119
LOC_Os02g32650.MSUR7,10,10,13,12,25,17,0,0,0,0,5,0,25,24,30,28,20,20,7,0,9,10,10,9,10,23,8,14,12,14,22,32,37,45,19,12
LOC_Os02g33220.MSUR7,16,13,9,12,15,11,7,4,5,6,11,8,0,0,3,0,3,0,11,14,21,12,13,14,18,16,6,9,10,18,2,0,2,3,3,2
LOC_Os02g33550.MSUR7,45,57,51,50,89,69,15,7,7,7,12,13,164,222,202,204,167,171,25,33,28,29,54,50,49,47,59,50,60,58,171,164,262,254,96,82
LOC_Os02g34430.MSUR7,7,0,24,18,16,14,0,0,0,7,0,0,52,56,35,40,33,25,18,4,9,16,18,10,21,10,7,14,31,16,36,48,53,42,25,12
LOC_Os02g35000.MSUR7,19,12,25,16,32,32,7,5,0,11,0,7,56,54,72,90,46,59,0,6,10,10,9,19,18,11,0,9,13,12,46,55,66,60,15,20
LOC_Os02g36070.MSUR7,15,34,16,11,19,9,23,30,29,24,46,34,59,57,21,28,54,56,43,24,16,19,21,21,15,19,17,19,17,16,12,14,8,5,2,5
LOC_Os02g36140.MSUR7,38,45,21,34,38,56,53,50,52,46,59,82,76,79,7,10,79,96,78,60,71,89,87,103,37,26,21,24,33,44,4,6,0,12,10,8
LOC_Os02g36190.MSUR7,28,37,37,35,26,47,52,40,65,48,75,82,78,85,19,10,95,93,59,77,87,87,109,108,11,11,4,4,14,25,5,8,8,0,7,18
LOC_Os02g36280.MSUR7,9,13,7,5,8,6,14,7,9,14,16,16,15,6,6,11,5,19,47,69,58,46,76,86,21,26,12,25,14,14,14,22,11,4,21,10
LOC_Os02g37070.MSUR7,3,13,14,14,10,5,2,2,4,0,3,2,35,45,28,27,41,33,3,0,2,9,3,4,4,8,7,4,5,2,14,15,28,20,12,13
LOC_Os02g37320.MSUR7,0,14,4,9,0,7,0,0,5,0,2,0,29,22,33,38,11,13,21,21,16,24,18,28,15,11,12,9,13,16,17,33,25,16,25,28
LOC_Os02g37360.MSUR7,16,19,12,10,8,11,10,14,13,11,0,0,0,0,5,9,5,4,53,63,49,51,55,46,85,100,65,88,84,83,36,57,34,37,44,33
LOC_Os02g37380.MSUR7,44,52,34,31,34,21,40,37,43,38,16,14,9,16,21,25,8,0,102,91,93,96,78,85,139,201,137,133,159,141,90,76,64,71,96,99
LOC_Os02g37480.MSUR7,19,20,22,29,31,36,8,5,9,11,0,3,26,24,19,13,12,18,41,61,68,67,66,61,72,85,60,61,89,49,17,31,27,20,21,31
LOC_Os02g37800.MSUR7,23,11,18,16,29,21,0,5,7,10,12,7,58,73,70,67,41,40,7,5,13,19,5,14,0,13,0,0,8,6,22,32,49,51,8,8
LOC_Os02g40070.MSUR7,11,11,9,11,28,17,4,0,3,7,0,0,36,30,24,28,20,18,0,7,4,5,4,10,12,5,3,8,14,0,18,16,27,19,16,13
LOC_Os02g40530.MSUR7,13,19,25,8,14,13,12,14,15,15,0,7,104,97,121,112,86,76,14,14,15,10,17,17,31,13,14,6,7,12,15,27,20,18,25,40
LOC_Os02g40784.MSUR7,57,48,42,59,41,38,52,43,41,52,36,24,16,25,33,33,12,11,55,45,31,45,64,70,44,65,31,37,39,49,5,0,3,0,0,0
LOC_Os02g41904.MSUR7,27,38,38,35,64,72,0,0,0,0,0,0,209,203,158,160,117,144,8,6,16,10,27,26,13,28,18,14,21,28,84,104,122,156,27,33
LOC_Os02g42450.MSUR7,51,64,71,56,81,69,9,6,0,7,2,8,95,116,78,84,104,94,51,47,63,54,96,75,56,49,51,28,58,75,249,242,348,365,106,92
LOC_Os02g43870.MSUR7,14,20,24,13,28,31,0,4,0,0,0,0,37,45,40,41,40,50,0,8,7,8,5,9,4,13,14,19,3,7,21,30,32,49,26,14
LOC_Os02g43940.MSUR7,3,4,3,2,3,3,3,2,0,2,0,0,18,5,14,21,10,5,0,6,7,5,6,2,3,3,4,2,3,7,8,7,10,4,3,3
LOC_Os02g43970.MSUR7,10,14,8,10,7,10,5,0,0,0,2,2,26,27,25,21,15,19,8,3,5,5,14,16,2,7,7,5,0,3,23,18,18,15,6,19
LOC_Os02g44080.MSUR7,124,100,119,122,173,199,5,11,5,11,9,12,253,268,319,324,221,223,173,137,183,202,292,314,161,224,147,142,165,201,629,660,937,1010,215,233
LOC_Os02g44108.MSUR7,18,22,25,17,14,23,0,0,0,0,4,5,64,78,63,52,53,75,24,17,20,17,27,20,8,20,13,15,18,7,57,56,80,78,29,22
LOC_Os02g44230.MSUR7,19,15,29,16,15,16,0,9,0,5,0,7,55,57,65,56,52,50,38,32,31,44,30,32,17,16,16,15,9,12,31,29,31,31,33,31
LOC_Os02g44310.MSUR7,761,788,890,962,1258,1299,32,48,30,26,54,53,1906,2009,2869,2943,1513,1458,285,302,492,510,863,944,620,674,548,546,630,585,2559,2579,4692,4699,914,946
LOC_Os02g44710.MSUR7,31,26,27,36,31,27,0,0,0,3,4,3,47,54,51,43,54,31,12,15,17,27,19,24,15,22,18,15,20,14,53,52,66,78,36,24
LOC_Os02g47130.MSUR7,21,26,23,20,40,40,0,3,0,0,0,3,89,87,72,85,55,59,13,7,11,13,24,18,27,21,31,14,31,29,46,52,75,77,26,18
LOC_Os02g47180.MSUR7,28,25,22,22,28,43,0,6,7,0,7,0,70,65,56,63,47,28,13,20,18,0,13,14,26,20,20,24,24,19,50,42,82,76,28,27
LOC_Os02g48360.MSUR7,29,30,31,40,38,56,0,0,0,0,9,0,115,88,137,95,74,80,12,11,21,12,29,28,40,39,18,19,24,29,80,77,101,117,31,41
LOC_Os02g48710.MSUR7,94,99,121,104,143,139,35,19,52,61,14,19,628,626,540,556,577,508,90,87,117,139,136,135,70,77,74,62,99,68,398,352,501,528,196,147
LOC_Os02g48870.MSUR7,61,46,75,62,80,55,0,7,0,5,14,0,108,129,117,142,85,103,64,64,81,83,123,111,110,103,80,72,93,107,149,174,256,264,86,103
LOC_Os02g49950.MSUR7,9,13,8,14,20,26,0,0,0,0,4,3,21,27,27,32,13,15,5,7,5,7,13,11,5,8,11,9,7,15,31,30,49,36,25,10
LOC_Os02g50490.MSUR7,20,24,17,21,17,16,0,0,0,8,10,5,58,49,45,49,42,42,24,30,22,31,29,16,30,23,20,13,14,27,43,40,51,48,24,21
LOC_Os02g50810.MSUR7,4,7,9,0,9,7,0,0,3,0,0,0,26,18,23,20,28,24,3,4,6,7,3,10,10,10,7,4,13,12,24,33,27,30,10,16
LOC_Os02g51620.MSUR7,13,20,19,23,44,32,8,9,3,0,0,10,124,99,122,101,99,101,12,10,10,20,30,16,53,40,29,38,25,20,118,122,148,142,43,44
LOC_Os02g52040.MSUR7,10,4,8,12,18,20,0,4,3,0,0,0,25,9,10,14,11,16,9,4,4,9,14,12,4,10,6,2,3,5,12,4,21,18,9,3
LOC_Os02g52280.MSUR7,23,27,18,16,20,30,9,0,7,4,0,7,47,58,49,63,41,45,15,10,8,16,13,15,23,14,10,14,20,23,36,41,55,67,27,25
LOC_Os02g52450.MSUR7,2,5,8,6,7,3,2,0,2,0,0,0,12,14,9,5,9,15,5,0,4,2,13,9,3,8,5,3,7,8,26,19,30,32,10,10
LOC_Os02g52670.MSUR7,16,15,18,3,4,9,5,4,0,5,5,3,35,49,46,46,30,33,10,7,12,13,4,10,9,9,3,7,14,14,15,14,7,20,13,20
LOC_Os02g53250.MSUR7,4,3,4,5,4,0,0,3,0,2,2,0,0,2,2,0,2,4,25,15,29,19,23,20,9,12,11,11,10,6,6,4,3,4,2,5
LOC_Os02g53510.MSUR7,7,9,10,8,6,10,19,14,8,14,16,10,13,15,25,9,7,10,8,7,7,4,8,2,8,6,7,6,3,4,0,4,0,0,7,3
LOC_Os02g54570.MSUR7,4,3,5,10,10,10,2,0,2,2,1,0,16,19,10,9,8,10,6,4,4,3,3,8,3,4,8,5,8,1,16,20,20,20,5,8
LOC_Os02g54720.MSUR7,8,18,18,18,19,14,7,0,0,0,0,10,39,51,42,33,39,21,12,6,26,14,24,8,14,11,8,9,7,8,18,18,15,15,15,23
LOC_Os02g54730.MSUR7,34,26,32,24,44,57,4,6,11,0,0,3,33,45,54,57,43,38,49,41,43,28,54,49,28,31,11,10,29,27,41,18,27,29,14,22
LOC_Os02g55120.MSUR7,7,13,8,13,13,13,8,14,20,15,5,7,23,25,29,27,14,16,0,0,0,0,7,12,0,20,18,5,0,10,28,29,22,14,28,20
LOC_Os02g56110.MSUR7,16,7,0,5,5,4,0,0,0,8,0,4,30,33,23,15,18,14,7,3,3,5,4,8,10,8,0,14,10,5,16,14,31,25,15,9
LOC_Os02g57350.MSUR7,6,10,10,12,14,26,3,0,0,0,0,3,37,22,36,39,16,21,16,18,15,17,21,35,13,4,10,22,15,11,33,27,21,19,22,23
LOC_Os03g01260.MSUR7,20,23,27,25,48,56,0,0,3,2,2,0,55,50,61,39,35,51,7,12,24,19,15,25,15,15,15,14,22,18,31,46,65,57,19,20
LOC_Os03g01270.MSUR7,30,42,25,25,62,31,4,0,0,3,5,3,53,53,35,46,44,66,4,12,12,34,24,45,30,33,29,23,27,43,152,142,204,202,62,49
LOC_Os03g01300.MSUR7,268,219,266,267,239,262,56,77,104,78,34,56,678,669,759,765,522,529,189,172,306,337,421,397,568,557,399,400,510,505,2090,2051,3269,3516,925,989
LOC_Os03g02040.MSUR7,48,44,73,69,71,71,8,10,11,15,19,13,150,143,203,251,133,133,6,20,24,31,61,45,47,65,57,37,55,62,236,211,442,420,102,93
LOC_Os03g02280.MSUR7,20,18,27,20,32,22,17,24,25,20,4,12,18,11,23,20,19,11,39,40,43,45,49,44,33,31,44,24,22,35,17,13,15,11,9,16
LOC_Os03g02530.MSUR7,47,59,35,25,50,48,0,7,0,0,0,0,78,77,106,106,45,52,25,23,20,14,33,25,34,41,31,33,26,22,122,96,168,155,42,57
LOC_Os03g02920.MSUR7,47,37,35,28,44,72,0,9,0,5,8,8,89,66,79,79,67,54,18,17,16,23,26,36,36,41,26,31,34,45,96,97,123,127,35,61
