gene,IR1_S64_L001,IR1_S64_L002,IR2_S65_L001,IR2_S65_L002,IR3_S66_L001,IR3_S66_L002,IR4_S67_L001,IR4_S67_L002,IR5_S68_L001,IR5_S68_L002,IR6_S69_L001,IR6_S69_L002,IR7_S70_L001,IR7_S70_L002,IR8_S71_L001,IR8_S71_L002,IR9_S72_L001,IR9_S72_L002,RN1_S55_L001,RN1_S55_L002,RN2_S56_L001,RN2_S56_L002,RN3_S57_L001,RN3_S57_L002,RN4_S58_L001,RN4_S58_L002,RN5_S59_L001,RN5_S59_L002,RN6_S60_L001,RN6_S60_L002,RN7_S61_L001,RN7_S61_L002,RN8_S62_L001,RN8_S62_L002,RN9_S63_L001,RN9_S63_L002
LOC_Os12g02240.MSUR7,7,7,6,11,6,5,0,2,3,1,1,0,13,19,11,5,14,7,7,14,5,14,13,12,0,5,2,3,13,8,8,12,11,6,14,6
LOC_Os12g02370.MSUR7,28,32,17,14,12,33,11,8,16,0,0,0,90,104,82,86,83,84,24,28,36,36,36,37,22,30,24,13,19,20,61,53,73,79,31,27
LOC_Os12g02550.MSUR7,5,6,7,4,9,10,0,3,0,2,0,0,12,12,14,17,7,8,3,4,3,6,3,4,3,3,2,7,4,5,19,13,19,18,13,11
LOC_Os12g02980.MSUR7,21,21,26,13,19,22,8,8,6,10,3,6,38,49,16,17,50,57,8,19,12,15,9,11,9,0,0,0,0,8,24,22,20,22,31,34
LOC_Os12g04320.MSUR7,3,15,7,14,26,31,0,0,3,3,0,0,18,14,14,18,17,18,8,14,10,10,17,5,27,16,15,19,15,24,47,52,51,59,16,27
LOC_Os12g04500.MSUR7,95,63,67,93,95,83,39,30,28,36,19,19,92,98,47,82,92,92,24,39,24,30,29,28,21,19,15,29,24,18,187,189,115,132,155,197
LOC_Os12g05210.MSUR7,6,8,14,10,5,8,4,2,2,3,3,0,30,31,22,15,31,30,2,4,4,6,7,4,2,5,0,0,4,3,3,3,4,3,2,2
LOC_Os12g05360.MSUR7,6,0,4,5,5,5,0,2,0,0,0,0,13,7,8,12,8,11,3,3,3,3,6,10,4,2,4,2,3,3,7,5,13,21,7,4
LOC_Os12g05440.MSUR7,10,8,14,6,16,11,4,2,3,2,2,2,34,27,38,40,33,14,2,6,8,5,6,3,6,4,5,1,2,6,29,16,9,15,18,30
LOC_Os12g05890.MSUR7,5,4,2,3,7,2,6,2,2,3,3,4,2,3,3,0,0,0,3,8,7,0,3,7,4,4,6,6,3,4,2,4,0,3,2,2
LOC_Os12g07030.MSUR7,29,34,36,29,27,17,31,32,42,55,7,8,231,242,269,218,154,190,38,30,34,33,32,34,23,28,26,23,28,22,43,47,24,16,36,26
LOC_Os12g08200.MSUR7,3,13,10,5,14,10,4,0,0,0,2,0,8,25,22,26,25,21,2,0,5,4,0,2,2,6,5,4,3,7,18,24,20,25,10,9
LOC_Os12g11980.MSUR7,7,11,9,13,12,13,9,12,15,16,21,16,32,21,5,4,19,28,9,13,15,15,10,10,17,9,5,8,19,6,8,3,2,4,1,3
